ZipCode	Zip Code
LogRecNum	Logical Record Number
OcpHsUnt_Tot	Occupied housing units: Total:
OcpHsUnt_OwnerOcp	Occupied housing units: Owner occupied:
OcpHsUnt_OwnerOcp_Hh15to24y	Occupied housing units: Owner occupied: Householder 15 to 24 years:
OcpHsUnt_OwnerOcp_Hh15to24y_1DtchdorAtchd	Occupied housing units: Owner occupied: Householder 15 to 24 years: 1, detached or attached
OcpHsUnt_OwnerOcp_Hh15to24y_2to4	Occupied housing units: Owner occupied: Householder 15 to 24 years: 2 to 4
OcpHsUnt_OwnerOcp_Hh15to24y_5to19	Occupied housing units: Owner occupied: Householder 15 to 24 years: 5 to 19
OcpHsUnt_OwnerOcp_Hh15to24y_20to49	Occupied housing units: Owner occupied: Householder 15 to 24 years: 20 to 49
OcpHsUnt_OwnerOcp_Hh15to24y_Gte50	Occupied housing units: Owner occupied: Householder 15 to 24 years: 50 or more
OcpHsUnt_OwnerOcp_Hh15to24y_MobHome	Occupied housing units: Owner occupied: Householder 15 to 24 years: Mobile home
OcpHsUnt_OwnerOcp_Hh15to24y_BoatRVvan	Occupied housing units: Owner occupied: Householder 15 to 24 years: Boat, RV, van, etc.
OcpHsUnt_OwnerOcp_Hh25to34y	Occupied housing units: Owner occupied: Householder 25 to 34 years:
OcpHsUnt_OwnerOcp_Hh25to34y_1DtchdorAtchd	Occupied housing units: Owner occupied: Householder 25 to 34 years: 1, detached or attached
OcpHsUnt_OwnerOcp_Hh25to34y_2to4	Occupied housing units: Owner occupied: Householder 25 to 34 years: 2 to 4
OcpHsUnt_OwnerOcp_Hh25to34y_5to19	Occupied housing units: Owner occupied: Householder 25 to 34 years: 5 to 19
OcpHsUnt_OwnerOcp_Hh25to34y_20to49	Occupied housing units: Owner occupied: Householder 25 to 34 years: 20 to 49
OcpHsUnt_OwnerOcp_Hh25to34y_Gte50	Occupied housing units: Owner occupied: Householder 25 to 34 years: 50 or more
OcpHsUnt_OwnerOcp_Hh25to34y_MobHome	Occupied housing units: Owner occupied: Householder 25 to 34 years: Mobile home
