ZipCode	Zip Code
LogRecNum	Logical Record Number
AsnAlnPop_Tot	Asian alone population: Total:
AsnAlnPop_Mle	Asian alone population: Male:
AsnAlnPop_Mle_Lt5y	Asian alone population: Male: Under 5 years
AsnAlnPop_Mle_5to9y	Asian alone population: Male: 5 to 9 years
AsnAlnPop_Mle_10to14y	Asian alone population: Male: 10 to 14 years
AsnAlnPop_Mle_15to17y	Asian alone population: Male: 15 to 17 years
AsnAlnPop_Mle_18and19y	Asian alone population: Male: 18 and 19 years
AsnAlnPop_Mle_20y	Asian alone population: Male: 20 years
AsnAlnPop_Mle_21y	Asian alone population: Male: 21 years
AsnAlnPop_Mle_22to24y	Asian alone population: Male: 22 to 24 years
AsnAlnPop_Mle_25to29y	Asian alone population: Male: 25 to 29 years
AsnAlnPop_Mle_30to34y	Asian alone population: Male: 30 to 34 years
AsnAlnPop_Mle_35to39y	Asian alone population: Male: 35 to 39 years
AsnAlnPop_Mle_40to44y	Asian alone population: Male: 40 to 44 years
AsnAlnPop_Mle_45to49y	Asian alone population: Male: 45 to 49 years
AsnAlnPop_Mle_50to54y	Asian alone population: Male: 50 to 54 years
AsnAlnPop_Mle_55to59y	Asian alone population: Male: 55 to 59 years
AsnAlnPop_Mle_60and61y	Asian alone population: Male: 60 and 61 years
AsnAlnPop_Mle_62to64y	Asian alone population: Male: 62 to 64 years
AsnAlnPop_Mle_65and66y	Asian alone population: Male: 65 and 66 years
AsnAlnPop_Mle_67to69y	Asian alone population: Male: 67 to 69 years
AsnAlnPop_Mle_70to74y	Asian alone population: Male: 70 to 74 years
AsnAlnPop_Mle_75to79y	Asian alone population: Male: 75 to 79 years
AsnAlnPop_Mle_80to84y	Asian alone population: Male: 80 to 84 years
AsnAlnPop_Mle_Gte85y	Asian alone population: Male: 85 years and over
AsnAlnPop_Fem	Asian alone population: Female:
AsnAlnPop_Fem_Lt5y	Asian alone population: Female: Under 5 years
AsnAlnPop_Fem_5to9y	Asian alone population: Female: 5 to 9 years
AsnAlnPop_Fem_10to14y	Asian alone population: Female: 10 to 14 years
AsnAlnPop_Fem_15to17y	Asian alone population: Female: 15 to 17 years
AsnAlnPop_Fem_18and19y	Asian alone population: Female: 18 and 19 years
AsnAlnPop_Fem_20y	Asian alone population: Female: 20 years
AsnAlnPop_Fem_21y	Asian alone population: Female: 21 years
AsnAlnPop_Fem_22to24y	Asian alone population: Female: 22 to 24 years
AsnAlnPop_Fem_25to29y	Asian alone population: Female: 25 to 29 years
AsnAlnPop_Fem_30to34y	Asian alone population: Female: 30 to 34 years
AsnAlnPop_Fem_35to39y	Asian alone population: Female: 35 to 39 years
AsnAlnPop_Fem_40to44y	Asian alone population: Female: 40 to 44 years
AsnAlnPop_Fem_45to49y	Asian alone population: Female: 45 to 49 years
AsnAlnPop_Fem_50to54y	Asian alone population: Female: 50 to 54 years
AsnAlnPop_Fem_55to59y	Asian alone population: Female: 55 to 59 years
AsnAlnPop_Fem_60and61y	Asian alone population: Female: 60 and 61 years
AsnAlnPop_Fem_62to64y	Asian alone population: Female: 62 to 64 years
AsnAlnPop_Fem_65and66y	Asian alone population: Female: 65 and 66 years
AsnAlnPop_Fem_67to69y	Asian alone population: Female: 67 to 69 years
AsnAlnPop_Fem_70to74y	Asian alone population: Female: 70 to 74 years
AsnAlnPop_Fem_75to79y	Asian alone population: Female: 75 to 79 years
AsnAlnPop_Fem_80to84y	Asian alone population: Female: 80 to 84 years
AsnAlnPop_Fem_Gte85y	Asian alone population: Female: 85 years and over
NatHiPacIslPop_Tot	Native Hawaiian and Other Pacific Islander alone population: Total:
NatHiPacIslPop_Mle	Native Hawaiian and Other Pacific Islander alone population: Male:
NatHiPacIslPop_Mle_Lt5y	Native Hawaiian and Other Pacific Islander alone population: Male: Under 5 years
NatHiPacIslPop_Mle_5to9y	Native Hawaiian and Other Pacific Islander alone population: Male: 5 to 9 years
NatHiPacIslPop_Mle_10to14y	Native Hawaiian and Other Pacific Islander alone population: Male: 10 to 14 years
NatHiPacIslPop_Mle_15to17y	Native Hawaiian and Other Pacific Islander alone population: Male: 15 to 17 years
NatHiPacIslPop_Mle_18and19y	Native Hawaiian and Other Pacific Islander alone population: Male: 18 and 19 years
NatHiPacIslPop_Mle_20y	Native Hawaiian and Other Pacific Islander alone population: Male: 20 years
NatHiPacIslPop_Mle_21y	Native Hawaiian and Other Pacific Islander alone population: Male: 21 years
NatHiPacIslPop_Mle_22to24y	Native Hawaiian and Other Pacific Islander alone population: Male: 22 to 24 years
NatHiPacIslPop_Mle_25to29y	Native Hawaiian and Other Pacific Islander alone population: Male: 25 to 29 years
NatHiPacIslPop_Mle_30to34y	Native Hawaiian and Other Pacific Islander alone population: Male: 30 to 34 years
