ZipCode	Zip Code
LogRecNum	Logical Record Number
PplAncRep_TotSpecAnc	People with ancestry reported: Total specified ancestries tallied:
PplAncRep_Anc001	People with ancestry reported: Acadian/Cajun
PplAncRep_Anc002	People with ancestry reported: Afghan
PplAncRep_Anc004	People with ancestry reported: Albanian
PplAncRep_Anc005	People with ancestry reported: Alsatian
PplAncRep_Arab	People with ancestry reported: Arab:
PplAncRep_Arab_Anc033	People with ancestry reported: Arab: Egyptian
PplAncRep_Arab_Anc049	People with ancestry reported: Arab: Iraqi
PplAncRep_Arab_Anc054	People with ancestry reported: Arab: Jordanian
PplAncRep_Arab_Anc057	People with ancestry reported: Arab: Lebanese
PplAncRep_Arab_Anc063	People with ancestry reported: Arab: Moroccan
PplAncRep_Arab_Anc070	People with ancestry reported: Arab: Palestinian
PplAncRep_Arab_Anc091	People with ancestry reported: Arab: Syrian
PplAncRep_Arab_Anc006	People with ancestry reported: Arab: Arab/Arabic
PplAncRep_Arab_OthArab	People with ancestry reported: Arab: Other Arab
PplAncRep_Anc007	People with ancestry reported: Armenian
PplAncRep_Anc008	People with ancestry reported: Assyrian/Chaldean/Syriac
PplAncRep_Anc009	People with ancestry reported: Australian
PplAncRep_Anc010	People with ancestry reported: Austrian
PplAncRep_Anc013	People with ancestry reported: Basque
PplAncRep_Anc014	People with ancestry reported: Belgian
PplAncRep_Anc017	People with ancestry reported: Brazilian
PplAncRep_Anc018	People with ancestry reported: British
PplAncRep_Anc020	People with ancestry reported: Bulgarian
PplAncRep_Anc021	People with ancestry reported: Canadian
PplAncRep_Anc023	People with ancestry reported: Carpatho Rusyn
PplAncRep_Anc024	People with ancestry reported: Celtic
PplAncRep_Anc025	People with ancestry reported: Croatian
PplAncRep_Anc026	People with ancestry reported: Cypriot
PplAncRep_Anc027	People with ancestry reported: Czech
PplAncRep_Anc028	People with ancestry reported: Czechoslovakian
PplAncRep_Anc029	People with ancestry reported: Danish
PplAncRep_Anc030	People with ancestry reported: Dutch
PplAncRep_Anc032	People with ancestry reported: Eastern European
PplAncRep_Engl	People with ancestry reported: English
PplAncRep_Anc034	People with ancestry reported: Estonian
PplAncRep_Anc036	People with ancestry reported: European
PplAncRep_Anc037	People with ancestry reported: Finnish
PplAncRep_Anc038	People with ancestry reported: French (except Basque)
PplAncRep_Anc039	People with ancestry reported: French Canadian
PplAncRep_Anc040	People with ancestry reported: German
PplAncRep_Anc041	People with ancestry reported: German Russian
PplAncRep_Anc043	People with ancestry reported: Greek
PplAncRep_Anc044	People with ancestry reported: Guyanese
PplAncRep_Anc046	People with ancestry reported: Hungarian
PplAncRep_Anc047	People with ancestry reported: Icelander
PplAncRep_Anc048	People with ancestry reported: Iranian
PplAncRep_Anc050	People with ancestry reported: Irish
PplAncRep_Anc051	People with ancestry reported: Israeli
PplAncRep_Anc052	People with ancestry reported: Italian
PplAncRep_Anc056	People with ancestry reported: Latvian
PplAncRep_Anc059	People with ancestry reported: Lithuanian
PplAncRep_Anc060	People with ancestry reported: Luxemburger
PplAncRep_Anc061	People with ancestry reported: Macedonian
PplAncRep_Anc062	People with ancestry reported: Maltese
PplAncRep_Anc064	People with ancestry reported: New Zealander
PplAncRep_Anc066	People with ancestry reported: Northern European
PplAncRep_Anc067	People with ancestry reported: Norwegian
PplAncRep_Anc071	People with ancestry reported: Pennsylvania German
PplAncRep_Anc072	People with ancestry reported: Polish
PplAncRep_Anc073	People with ancestry reported: Portuguese
PplAncRep_Anc074	People with ancestry reported: Romanian
PplAncRep_Anc075	People with ancestry reported: Russian
PplAncRep_Anc076	People with ancestry reported: Scandinavian
PplAncRep_Anc077	People with ancestry reported: Scotch-Irish
PplAncRep_Anc078	People with ancestry reported: Scottish
PplAncRep_Anc080	People with ancestry reported: Serbian
PplAncRep_Anc082	People with ancestry reported: Slavic
PplAncRep_Anc083	People with ancestry reported: Slovak
PplAncRep_Anc084	People with ancestry reported: Slovene
PplAncRep_Anc087	People with ancestry reported: Soviet Union
PplAncRep_SubSahAfr	People with ancestry reported: Subsaharan African:
PplAncRep_SubSahAfr_Anc022	People with ancestry reported: Subsaharan African: Cape Verdean
PplAncRep_SubSahAfr_Anc035	People with ancestry reported: Subsaharan African: Ethiopian
PplAncRep_SubSahAfr_Anc042	People with ancestry reported: Subsaharan African: Ghanian
PplAncRep_SubSahAfr_Anc055	People with ancestry reported: Subsaharan African: Kenyan
PplAncRep_SubSahAfr_Anc058	People with ancestry reported: Subsaharan African: Liberian
PplAncRep_SubSahAfr_Anc065	People with ancestry reported: Subsaharan African: Nigerian
PplAncRep_SubSahAfr_Anc079	People with ancestry reported: Subsaharan African: Senegalese
PplAncRep_SubSahAfr_Anc081	People with ancestry reported: Subsaharan African: Sierra Leonean
PplAncRep_SubSahAfr_Anc085	People with ancestry reported: Subsaharan African: Somalian
PplAncRep_SubSahAfr_Anc086	People with ancestry reported: Subsaharan African: South African
PplAncRep_SubSahAfr_Anc088	People with ancestry reported: Subsaharan African: Sudanese
PplAncRep_SubSahAfr_Anc095	People with ancestry reported: Subsaharan African: Ugandan
PplAncRep_SubSahAfr_Anc101	People with ancestry reported: Subsaharan African: Zairian
PplAncRep_SubSahAfr_Anc102	People with ancestry reported: Subsaharan African: Zimbabwean
PplAncRep_SubSahAfr_Anc003	People with ancestry reported: Subsaharan African: African
PplAncRep_SubSahAfr_Anc068	People with ancestry reported: Subsaharan African: Other Subsaharan African
PplAncRep_Anc089	People with ancestry reported: Swedish
PplAncRep_Anc090	People with ancestry reported: Swiss
PplAncRep_Anc093	People with ancestry reported: Turkish
PplAncRep_Anc096	People with ancestry reported: Ukrainian
PplAncRep_Anc097	People with ancestry reported: United States or American
PplAncRep_Anc098	People with ancestry reported: Welsh
PplAncRep_WestIndExclHisp	People with ancestry reported: West Indian (excluding Hispanic groups):
PplAncRep_WestIndExclHisp_Anc011	People with ancestry reported: West Indian (excluding Hispanic groups): Bahamian
PplAncRep_WestIndExclHisp_Anc012	People with ancestry reported: West Indian (excluding Hispanic groups): Barbadian
PplAncRep_WestIndExclHisp_Anc015	People with ancestry reported: West Indian (excluding Hispanic groups): Belizean
PplAncRep_WestIndExclHisp_Anc016	People with ancestry reported: West Indian (excluding Hispanic groups): Bermudan
